,sim,i,s,area_random,area_hypercube,area_orthogonal,times_random,times_hypercube,times_orthogonal
44,44.0,2582,3025,1.477090909090909,1.522909090909091,1.514181818181818,0.27811279910383746,0.2853785350744147,36.53939298289333
45,45.0,2582,3025,1.4836363636363636,1.5185454545454546,1.5207272727272727,0.2909439820359694,0.2833242730666825,36.543224116896454
46,46.0,2582,3025,1.464,1.5054545454545454,1.5032727272727273,0.27653167292373837,0.2826276389278064,36.34691446490979
47,47.0,2582,3025,1.4574545454545453,1.5359999999999998,1.5185454545454546,0.28258758808806306,0.290248165907542,36.55584254999485
48,48.0,2582,3025,1.5709090909090908,1.5272727272727273,1.5054545454545454,0.29799074989932706,0.2863120650727069,36.53681621104988
49,49.0,2582,3025,1.5469090909090908,1.416,1.501090909090909,0.30356017900339793,0.2641577279064222,36.662564894933894
50,50.0,2582,3025,1.453090909090909,1.5185454545454546,1.522909090909091,0.2745420920291508,0.2853723020562029,36.66222141400431
51,51.0,2582,3025,1.32,1.5687272727272725,1.501090909090909,0.26203594004982733,0.2955115541044506,36.47227437904439
52,52.0,2582,3025,1.5185454545454546,1.5425454545454544,1.479272727272727,0.2948341099290701,0.2947479899703467,36.52125273894853
53,53.0,2582,3025,1.5447272727272725,1.4923636363636363,1.4989090909090907,0.317426946854539,0.27781096702528885,42.538782268984505
54,54.0,2582,3025,1.5861818181818181,1.5272727272727273,1.5098181818181817,0.30049380604032194,0.2950838059987291,36.73914188188792
55,55.0,2582,3025,1.5469090909090908,1.490181818181818,1.4989090909090907,0.31140404001052957,0.2823344319513126,36.9584894880245
56,56.0,2582,3025,1.5752727272727272,1.4727272727272727,1.501090909090909,0.30297891112059006,0.2837959730277362,37.03705110289957
57,57.0,2582,3025,1.4945454545454544,1.5425454545454544,1.5032727272727273,0.31402072797573055,0.29785049888596404,36.583029367087875
58,58.0,2582,3025,1.525090909090909,1.5403636363636362,1.4945454545454544,0.29400283295763074,0.29330335607301095,36.5077797480335
59,59.0,2582,3025,1.4858181818181817,1.525090909090909,1.5076363636363637,0.2963519930126495,0.28445219413697487,36.584451958191494
60,60.0,2582,3025,1.44,1.5294545454545454,1.5076363636363637,0.27222959107893985,0.28613853200658923,36.26168368413346
61,61.0,2582,3025,1.4072727272727272,1.5599999999999998,1.514181818181818,0.27160105502116494,0.3004327441085479,36.58608940200429
62,62.0,2582,3025,1.477090909090909,1.5447272727272725,1.4836363636363636,0.28022603100544075,0.28959405094065005,36.293134731124155
63,63.0,2582,3025,1.455272727272727,1.5512727272727271,1.5163636363636364,0.2755499559571035,0.2878901309486537,36.84382776096027
64,64.0,2582,3025,1.512,1.5054545454545454,1.5076363636363637,0.2883427700144239,0.2815147759283718,36.355115396057954
65,65.0,2582,3025,1.464,1.4858181818181817,1.501090909090909,0.2784926580497995,0.29003288588501164,36.72506993380375
66,66.0,2582,3025,1.5359999999999998,1.514181818181818,1.5185454545454546,0.2921204299418605,0.2968355091798003,37.32287639004062
67,67.0,2582,3025,1.5665454545454545,1.4858181818181817,1.4967272727272727,0.3008720570214791,0.2966486510413233,37.438982467105234
68,68.0,2582,3025,1.477090909090909,1.501090909090909,1.5076363636363637,0.28722122904946445,0.2857798621043912,37.40518072085615
69,69.0,2582,3025,1.573090909090909,1.479272727272727,1.5185454545454546,0.2971144369803369,0.28270014410009026,38.291722680027306
70,70.0,2582,3025,1.4618181818181817,1.4967272727272727,1.512,0.6412688860400522,0.6188120808983513,39.93214020780215
71,71.0,2582,3025,1.4596363636363634,1.5687272727272725,1.512,0.2796916710467485,0.30047365110294777,37.47211652091937
72,72.0,2582,3025,1.5883636363636362,1.512,1.5032727272727273,0.302254244863434,0.2814600500460074,37.395682686994405
73,73.0,2582,3025,1.5076363636363637,1.479272727272727,1.5076363636363637,0.28532382700723247,0.28408898708585184,37.27991932113946
74,74.0,2582,3025,1.5032727272727273,1.5469090909090908,1.512,0.2923359861779318,0.29696172591502545,37.482887905007374
75,75.0,2582,3025,1.538181818181818,1.5032727272727273,1.4923636363636363,0.29235180609612144,0.2824687490174256,37.242273944928456
76,76.0,2582,3025,1.5490909090909089,1.4923636363636363,1.5054545454545454,0.2934511459789064,0.28115945493482286,37.3110606369155
77,77.0,2582,3025,1.5294545454545454,1.522909090909091,1.5054545454545454,0.2901293121831259,0.29885762208141387,37.61364751803194
78,78.0,2582,3025,1.426909090909091,1.455272727272727,1.5076363636363637,0.27346173020487186,0.2751280370539462,37.39524067304592
79,79.0,2582,3025,1.464,1.5294545454545454,1.5185454545454546,0.2797319848978077,0.2881553430343047,37.16490955793779
80,80.0,2582,3025,1.5359999999999998,1.525090909090909,1.5185454545454546,0.29188286308635725,0.29356314685719553,37.531881993101706
81,81.0,2582,3025,1.4356363636363636,1.5098181818181817,1.501090909090909,0.2821225600091566,0.2837270309282758,37.48167182791076
82,82.0,2582,3025,1.488,1.5709090909090908,1.5425454545454544,0.3013646710787725,0.2974063299370755,37.31962457302143
83,83.0,2582,3025,1.5054545454545454,1.4596363636363634,1.501090909090909,0.2848474278980575,0.28228385382681154,37.46427230502741
84,84.0,2582,3025,1.4923636363636363,1.4989090909090907,1.4967272727272727,0.28185237295838306,0.28074559803280863,37.588012349035125
85,85.0,2582,3025,1.5054545454545454,1.5076363636363637,1.4967272727272727,0.29818090991466306,0.30476857894973364,37.28658014100802
86,86.0,2582,3025,1.3876363636363636,1.466181818181818,1.522909090909091,0.2714370140165556,0.2804350410369807,37.33469687901379
87,87.0,2582,3025,1.5316363636363637,1.4683636363636363,1.490181818181818,0.2957653739795205,0.2835553549521137,36.99204059490512
88,88.0,2582,3025,1.479272727272727,1.5076363636363637,1.5076363636363637,0.2853132019699842,0.2824885890368023,37.28336056009721
89,89.0,2582,3025,1.5163636363636364,1.4858181818181817,1.525090909090909,0.2899157508654753,0.2827375918459438,37.25249524191895
90,90.0,2582,3025,1.5534545454545452,1.5621818181818181,1.514181818181818,0.2951018660060072,0.292766459955601,37.2093537019864
91,91.0,2582,3025,1.5949090909090908,1.4858181818181817,1.5207272727272727,0.30764385110887815,0.28743543096788926,37.45645606588005
92,92.0,2582,3025,1.5272727272727273,1.488,1.5163636363636364,0.29591717802759376,0.2848475269638584,37.243867042969214
93,93.0,2582,3025,1.5774545454545454,1.4814545454545454,1.514181818181818,0.2985039059931296,0.2849735849413264,37.13023841514223
94,94.0,2582,3025,1.5272727272727273,1.5490909090909089,1.5098181818181817,0.2877002820314374,0.29493109606119106,37.22646477089438
95,95.0,2582,3025,1.5534545454545452,1.514181818181818,1.5294545454545454,0.2954417029868637,0.28807598897765274,37.42755347213824
96,96.0,2582,3025,1.4574545454545453,1.466181818181818,1.5032727272727273,0.2852208781259833,0.2792067690352269,37.354703125995
97,97.0,2582,3025,1.514181818181818,1.4923636363636363,1.5076363636363637,0.29112430707755266,0.2874839039868675,37.809082146166475
98,98.0,2582,3025,1.4596363636363634,1.5338181818181817,1.5098181818181817,0.2880409298813902,0.2901181179440755,37.43692515600196
99,99.0,2582,3025,1.453090909090909,1.5578181818181818,1.4923636363636363,0.2759575919335475,0.30315507494015037,37.31974422801795
