,sim,i,s,area_h,times_h
37,37.0,2582,3025,1.4836363636363636,0.3016916039996431
38,38.0,2582,3025,1.488,0.30241615095837915
39,39.0,2582,3025,1.5076363636363637,0.3184705230214604
40,40.0,2582,3025,1.4814545454545454,0.3043857509492227
41,41.0,2582,3025,1.5207272727272727,0.31610749601713906
42,42.0,2582,3025,1.5076363636363637,0.31598910102184163
43,43.0,2582,3025,1.522909090909091,0.31331127106204804
44,44.0,2582,3025,1.514181818181818,0.3075434409274749
45,45.0,2582,3025,1.5403636363636362,0.32186111098053516
46,46.0,2582,3025,1.5032727272727273,0.3120819509804278
47,47.0,2582,3025,1.5054545454545454,0.3127898670900322
48,48.0,2582,3025,1.5185454545454546,0.3157001740310079
49,49.0,2582,3025,1.525090909090909,0.3119185579889745
50,50.0,2582,3025,1.5098181818181817,0.3078756489467196
51,51.0,2582,3025,1.5163636363636364,0.3280267599820945
52,52.0,2582,3025,1.5207272727272727,0.32245073093508836
53,53.0,2582,3025,1.512,0.31368374404155475
54,54.0,2582,3025,1.4945454545454544,0.3142573320019437
55,55.0,2582,3025,1.522909090909091,0.3228278029473586
56,56.0,2582,3025,1.5163636363636364,0.31409564903515275
57,57.0,2582,3025,1.5163636363636364,0.31220605895578046
58,58.0,2582,3025,1.5185454545454546,0.3182883100107574
59,59.0,2582,3025,1.5163636363636364,0.31596175110462354
60,60.0,2582,3025,1.5163636363636364,0.3113376260334917
61,61.0,2582,3025,1.4967272727272727,0.31519542992828065
62,62.0,2582,3025,1.501090909090909,0.3057577450053941
63,63.0,2582,3025,1.4574545454545453,0.2979339570392767
64,64.0,2582,3025,1.5076363636363637,0.3182240020396421
65,65.0,2582,3025,1.490181818181818,0.30788533307531907
66,66.0,2582,3025,1.5185454545454546,0.32219172203258495
67,67.0,2582,3025,1.4923636363636363,0.31226062298810575
68,68.0,2582,3025,1.5098181818181817,0.3124476310440514
69,69.0,2582,3025,1.5098181818181817,0.31140653896000003
70,70.0,2582,3025,1.4967272727272727,0.30718942500607227
71,71.0,2582,3025,1.501090909090909,0.31755105093361635
72,72.0,2582,3025,1.5207272727272727,0.31056898798124166
73,73.0,2582,3025,1.501090909090909,0.3095458629704808
74,74.0,2582,3025,1.5032727272727273,0.3145891679723718
75,75.0,2582,3025,1.5032727272727273,0.309126303956873
76,76.0,2582,3025,1.5338181818181817,0.31167340596948634
77,77.0,2582,3025,1.5272727272727273,0.31738401402981253
78,78.0,2582,3025,1.5163636363636364,0.3091658780031139
79,79.0,2582,3025,1.501090909090909,0.30917178498020803
80,80.0,2582,3025,1.5098181818181817,0.31029766402025416
81,81.0,2582,3025,1.5032727272727273,0.31878730197422556
82,82.0,2582,3025,1.4989090909090907,0.31384446294032387
83,83.0,2582,3025,1.5076363636363637,0.31660679599735886
84,84.0,2582,3025,1.5207272727272727,0.31965985107854067
85,85.0,2582,3025,1.5163636363636364,0.31971798395898077
86,86.0,2582,3025,1.501090909090909,0.30771257695232634
87,87.0,2582,3025,1.4989090909090907,0.3182173960212822
88,88.0,2582,3025,1.4945454545454544,0.303638565050278
89,89.0,2582,3025,1.5032727272727273,0.31170592810849485
90,90.0,2582,3025,1.5076363636363637,0.31524481699671014
91,91.0,2582,3025,1.522909090909091,0.3137990779905522
92,92.0,2582,3025,1.5098181818181817,0.31165695098025026
93,93.0,2582,3025,1.5207272727272727,0.3186315479906625
94,94.0,2582,3025,1.525090909090909,0.31965887002661475
95,95.0,2582,3025,1.5185454545454546,0.31192494101014745
96,96.0,2582,3025,1.501090909090909,0.3095638499926281
97,97.0,2582,3025,1.512,0.32020614302746253
98,98.0,2582,3025,1.512,0.32161903507221723
99,99.0,2582,3025,1.522909090909091,0.3113927200065518
