sim,rho,customer_no,servers,mean_waiting_time
0,0.5,5000,1,0.6155556680478478
0,0.5,5000,1,0.5860168945077153
0,0.5,5000,1,0.6185710506520224
0,0.5,5000,1,0.6570971979940344
0,0.5,5000,1,0.6040250523891777
0,0.5,5000,1,0.6152771867430405
0,0.5,5000,1,0.6099395498127261
0,0.5,5000,1,0.6661901885758565
0,0.5,10000,1,0.5894303031815953
0,0.5,10000,1,0.6591078042113714
0,0.5,10000,1,0.6788869559026349
0,0.5,10000,1,0.6247374514261379
0,0.5,10000,1,0.6338892504431592
0,0.5,10000,1,0.6260238505649091
0,0.5,10000,1,0.6420362349679954
0,0.5,10000,1,0.6394783946661593
0,0.5,10000,1,0.6236273034880325
0,0.5,10000,1,0.624067614823066
0,0.5,10000,1,0.6158120315268758
0,0.5,10000,1,0.6572199702945125
0,0.5,10000,1,0.6076759917184158
0,0.5,10000,1,0.6102425941848897
0,0.5,10000,1,0.6049289357835933
0,0.5,10000,1,0.6314463712926243
0,0.5,10000,1,0.6001158807732265
0,0.5,10000,1,0.6506563827705544
0,0.5,10000,1,0.6313892829342037
0,0.5,10000,1,0.6253793124120297
0,0.5,10000,1,0.6036193333931398
0,0.5,10000,1,0.6589765541117358
0,0.5,10000,1,0.6389527265829417
0,0.5,10000,1,0.6281722509472271
0,0.5,10000,1,0.6089135911670386
0,0.5,10000,1,0.5815258503884454
0,0.5,10000,1,0.643992893896308
0,0.5,10000,1,0.6156432503809643
0,0.5,10000,1,0.6268564213655964
0,0.5,10000,1,0.6468491619363974
0,0.5,10000,1,0.6080283272723639
0,0.5,10000,1,0.6592438772979329
0,0.5,10000,1,0.637825205519049
0,0.5,10000,1,0.5919428493444607
0,0.5,10000,1,0.6252225040672394
0,0.5,10000,1,0.6240218215907494
0,0.5,10000,1,0.5960803883621626
0,0.5,10000,1,0.6646412209364567
0,0.5,10000,1,0.645029801578613
0,0.5,10000,1,0.6303652191877834
0,0.5,10000,1,0.6207231075701853
0,0.5,10000,1,0.6622095837019099
0,0.5,10000,1,0.5942254817622588
0,0.5,10000,1,0.6051248159392306
0,0.5,10000,1,0.6302475988137676
0,0.5,10000,1,0.6414314754044307
0,0.5,10000,1,0.6108872746683934
0,0.5,10000,1,0.6374448659066485
0,0.5,10000,1,0.6652216784728961
0,0.5,10000,1,0.6125739589839357
0,0.5,50000,1,0.6204429263442992
0,0.5,50000,1,0.6080518895845914
0,0.5,50000,1,0.6006744475307083
0,0.5,50000,1,0.6198331945754472
0,0.5,50000,1,0.6214307552943042
0,0.5,50000,1,0.621939057885578
0,0.5,50000,1,0.6328017576880094
0,0.5,50000,1,0.600087450613818
0,0.5,50000,1,0.6309509903679548
0,0.5,50000,1,0.6194567743231875
0,0.5,50000,1,0.6288198947881649
0,0.5,50000,1,0.627495125739313
0,0.5,50000,1,0.6214959014973641
0,0.5,50000,1,0.618717360317347
0,0.5,50000,1,0.627901981625527
0,0.5,50000,1,0.6139053613402607
0,0.5,50000,1,0.6397496857916265
0,0.5,50000,1,0.6269178284680602
0,0.5,50000,1,0.6155962656815867
0,0.5,50000,1,0.6243542701808793
0,0.5,50000,1,0.6137244250396533
0,0.5,50000,1,0.6414237743161644
0,0.5,50000,1,0.6285294601705939
0,0.5,50000,1,0.6411403648285167
