,sim,i,s,area,time
16,3,2582,529,1.572022684310019,0.05625794199841039
17,3,2582,576,1.5354166666666667,0.05579959299689108
18,3,2582,625,1.5312,0.06483043199978056
19,3,2582,676,1.4449704142011834,0.06585524700017231
20,3,2582,729,1.502880658436214,0.07402357600403775
21,3,2582,784,1.5237244897959183,0.08654365200027314
22,3,2582,841,1.5224732461355528,0.06070193799541812
23,3,2582,900,1.5106666666666666,0.09148886600155492
24,3,2582,961,1.5040582726326743,0.0978390689972457
25,3,2582,1024,1.4888671875,0.10301637400084473
26,3,2582,1089,1.5393939393939393,0.11082976800344113
27,3,2582,1156,1.5015570934256053,0.11611823300336255
28,3,2582,1225,1.4816326530612245,0.12238046900188237
29,3,2582,1296,1.4615740740740741,0.1260357680009747
30,3,2582,1369,1.5234477720964206,0.14073846400197
31,3,2582,1444,1.4397506925207755,0.14098779399841987
32,3,2582,1521,1.4883629191321497,0.1534213699974316
33,3,2582,1600,1.50975,0.15642529999786348
34,3,2582,1681,1.5312314098750741,0.1710219510061961
35,3,2582,1764,1.4928571428571429,0.17530836699688734
36,3,2582,1849,1.524175229853975,0.19500099699735074
37,3,2582,1936,1.5068181818181816,0.1976513250001517
38,3,2582,2025,1.5025185185185184,0.16240140599938968
39,3,2582,2116,1.5158790170132324,0.21845258500684395
40,3,2582,2209,1.4998641919420552,0.22282885099753003
41,3,2582,2304,1.5010416666666666,0.21251130299856413
42,3,2582,2401,1.4843815077051228,0.24045405199581182
43,3,2582,2500,1.50216,0.25213762799808137
44,3,2582,2601,1.4945790080738177,0.2624652539980161
45,3,2582,2704,1.4986686390532544,0.2752233649914615
46,3,2582,2809,1.5084371662513347,0.2832706250010233
47,3,2582,2916,1.5051440329218106,0.2893476250117146
0,4,2582,49,1.7510204081632654,0.006470368001146198
1,4,2582,64,1.340625,0.006194548001758449
2,4,2582,81,1.711111111111111,0.009779296999795406
3,4,2582,100,1.386,0.009829636999938884
4,4,2582,121,1.3636363636363635,0.01142128700075773
5,4,2582,144,1.4666666666666666,0.01449937500069609
6,4,2582,169,1.523076923076923,0.01740082500077733
7,4,2582,196,1.5153061224489794,0.0265641210000922
8,4,2582,225,1.4666666666666666,0.022210420000419617
9,4,2582,256,1.4953124999999998,0.025999029002377938
10,4,2582,289,1.46159169550173,0.028714250999883006
11,4,2582,324,1.5074074074074073,0.03339743500146142
12,4,2582,361,1.4626038781163433,0.036276920997352136
13,4,2582,400,1.6004999999999998,0.04400625099970057
14,4,2582,441,1.4816326530612245,0.04517356100245706
15,4,2582,484,1.5818181818181818,0.03788245000259849
16,4,2582,529,1.559546313799622,0.04186838100258683
17,4,2582,576,1.4666666666666666,0.05968316699909337
18,4,2582,625,1.57344,0.06108616100095787
19,4,2582,676,1.5133136094674555,0.0653450780005187
20,4,2582,729,1.5390946502057612,0.07684583499849396
21,4,2582,784,1.5153061224489794,0.08128580400193641
22,4,2582,841,1.530321046373365,0.08774248999839074
23,4,2582,900,1.4886666666666666,0.09178710699757175
24,4,2582,961,1.4971904266389178,0.07088827600227887
25,4,2582,1024,1.5275390624999998,0.10717192699735278
26,4,2582,1089,1.521212121212121,0.11490203700373058
27,4,2582,1156,1.5015570934256053,0.12442683299605051
28,4,2582,1225,1.4708571428571429,0.12218913699962286
29,4,2582,1296,1.4972222222222222,0.13379133799662668
30,4,2582,1369,1.5282688093498904,0.1486575440019351
31,4,2582,1444,1.4808864265927977,0.1475490030027231
32,4,2582,1521,1.5187376725838264,0.16237015599654114
33,4,2582,1600,1.5303749999999998,0.16823615400062408
34,4,2582,1681,1.5233789411064842,0.1756247840000924
35,4,2582,1764,1.4891156462585033,0.17816152799969132
36,4,2582,1849,1.5134667387777176,0.19280589099639656
37,4,2582,1936,1.4897727272727272,0.19473595599629334
38,4,2582,2025,1.4927407407407407,0.2053737329958949
39,4,2582,2116,1.522117202268431,0.21878990799496023
40,4,2582,2209,1.4909008601177003,0.2192266789900259
41,4,2582,2304,1.5153645833333333,0.18752444800043122
42,4,2582,2401,1.500874635568513,0.2227582270036237
43,4,2582,2500,1.50744,0.26219082299508045
44,4,2582,2601,1.5123414071510957,0.2703637299962338
45,4,2582,2704,1.523076923076923,0.28460637499097174
46,4,2582,2809,1.4966892132431469,0.28720591399269324
47,4,2582,2916,1.502880658436214,0.3047783909921691
0,5,2582,49,1.4816326530612245,0.00522043499904612
1,5,2582,64,1.4437499999999999,0.0065260260000741255
2,5,2582,81,1.385185185185185,0.008278626999754124
3,5,2582,100,1.32,0.009177186000442816
4,5,2582,121,1.6363636363636362,0.01408275300036621
5,5,2582,144,1.5583333333333331,0.015455987999985155
6,5,2582,169,1.5621301775147927,0.018405970999765486
7,5,2582,196,1.5489795918367346,0.026274722999005462
8,5,2582,225,1.4373333333333331,0.021708124998895073
9,5,2582,256,1.546875,0.02781783200020982
